road_name,geometry
자양로44길,"LINESTRING (14148242.990839439 4516322.511255287, 14148253.574976444 4516301.524870112)"
영화사로16길,"LINESTRING (14148241.846690737 4516589.746761824, 14148216.338606775 4516559.353667597)"
영화사로11길,"LINESTRING (14148065.767863525 4516813.65024639, 14148114.698534342 4516849.952147882)"
영화사로11길,"LINESTRING (14148114.698534342 4516849.952147882, 14148130.232980646 4516861.47722878)"
영화사로11길,"LINESTRING (14148065.767863525 4516813.65024639, 14147989.065497026 4516756.824575696)"
"영화사로13길, 영화사로11길","LINESTRING (14148138.490303598 4516871.431796759, 14148168.181795059 4516907.226202753, 14148196.779772243 4516886.949468921, 14148196.779772243 4516881.234357827, 14148189.428355038 4516871.6520672515)"
"영화사로13길, 영화사로11길","MULTILINESTRING ((14148130.232980646 4516861.47722878, 14148138.490303598 4516871.431796759), (14148189.428355038 4516871.6520672515, 14148155.70288014 4516827.692203283))"
영화사로11길,"LINESTRING (14148114.698534342 4516849.952147882, 14148065.767863525 4516813.65024639)"
영화사로11길,"LINESTRING (14148130.232980646 4516861.47722878, 14148114.698534342 4516849.952147882)"
"영화사로13길, 영화사로11길","LINESTRING (14148189.428355038 4516871.6520672515, 14148196.779772243 4516881.234357827, 14148196.779772243 4516886.949468921, 14148168.181795059 4516907.226202753, 14148138.490303598 4516871.431796759)"
"영화사로13길, 영화사로11길","MULTILINESTRING ((14148155.70288014 4516827.692203283, 14148189.428355038 4516871.6520672515), (14148138.490303598 4516871.431796759, 14148130.232980646 4516861.47722878))"
영화사로13길,"LINESTRING (14148114.922612162 4516797.765887422, 14148091.237763021 4516780.384925704)"
영화사로13길,"LINESTRING (14148155.70288014 4516827.692203283, 14148114.922612162 4516797.765887422)"
영화사로13길,"LINESTRING (14148091.237763021 4516780.384925704, 14148043.025173254 4516744.4507652)"
영화사로13길,"LINESTRING (14148043.025173254 4516744.4507652, 14147994.40093798 4516708.209794051)"
영화사로13길,"LINESTRING (14148091.237763021 4516780.384925704, 14148114.922612162 4516797.765887422)"
영화사로13길,"LINESTRING (14148114.922612162 4516797.765887422, 14148155.70288014 4516827.692203283)"
천호대로137길,"LINESTRING (14147976.200201236 4516232.315727023, 14147991.566599153 4516175.905348965)"
천호대로137길,"LINESTRING (14147976.200201236 4516232.315727023, 14147974.834797539 4516237.900639788)"
천호대로137길,"LINESTRING (14147974.834797539 4516237.900639788, 14147950.663510047 4516336.768492773)"
영화사로16길,"LINESTRING (14148175.139263231 4516672.571751157, 14148204.160254482 4516671.027157874)"
영화사로16길,"LINESTRING (14148175.139263231 4516672.571751157, 14148120.893275369 4516693.100821724)"
영화사로16길,"LINESTRING (14148241.5071697 4516669.044010326, 14148204.160254482 4516671.027157874)"
영화사로16가길,"LINESTRING (14148218.299940273 4516618.6436965065, 14148209.525853937 4516608.302821423, 14148203.19177491 4516584.76900575)"
영화사로16가길,"LINESTRING (14148241.6053624 4516646.110768267, 14148218.299940273 4516618.6436965065)"
영화사로16길,"LINESTRING (14148120.893275369 4516693.100821724, 14148175.139263231 4516672.571751157)"
영화사로16길,"LINESTRING (14148377.273194615 4516576.737190558, 14148367.900794184 4516584.315509259)"
영화사로16길,"LINESTRING (14148377.273194615 4516576.737190558, 14148417.71556562 4516544.048327993)"
