road_name,geometry
영화사로11길,"LINESTRING (14148114.698534342 4516849.952147882, 14148130.232980646 4516861.47722878)"
영화사로11길,"LINESTRING (14148065.767863525 4516813.65024639, 14147989.065497026 4516756.824575696)"
"영화사로13길, 영화사로11길","LINESTRING (14148138.490303598 4516871.431796759, 14148168.181795059 4516907.226202753, 14148196.779772243 4516886.949468921, 14148196.779772243 4516881.234357827, 14148189.428355038 4516871.6520672515)"
"영화사로13길, 영화사로11길","MULTILINESTRING ((14148130.232980646 4516861.47722878, 14148138.490303598 4516871.431796759), (14148189.428355038 4516871.6520672515, 14148155.70288014 4516827.692203283))"
영화사로11길,"LINESTRING (14148114.698534342 4516849.952147882, 14148065.767863525 4516813.65024639)"
영화사로11길,"LINESTRING (14148130.232980646 4516861.47722878, 14148114.698534342 4516849.952147882)"
"영화사로13길, 영화사로11길","LINESTRING (14148189.428355038 4516871.6520672515, 14148196.779772243 4516881.234357827, 14148196.779772243 4516886.949468921, 14148168.181795059 4516907.226202753, 14148138.490303598 4516871.431796759)"
"영화사로13길, 영화사로11길","MULTILINESTRING ((14148155.70288014 4516827.692203283, 14148189.428355038 4516871.6520672515), (14148138.490303598 4516871.431796759, 14148130.232980646 4516861.47722878))"
영화사로11길,"LINESTRING (14147989.065497026 4516756.824575696, 14148065.767863525 4516813.65024639)"
영화사로13길,"LINESTRING (14148043.025173254 4516744.4507652, 14148091.237763021 4516780.384925704)"
영화사로13길,"LINESTRING (14147994.40093798 4516708.209794051, 14148043.025173254 4516744.4507652)"
"영화사로13길, 영화사로11길","LINESTRING (14148138.490303598 4516871.431796759, 14148168.181795059 4516907.226202753, 14148196.779772243 4516886.949468921, 14148196.779772243 4516881.234357827, 14148189.428355038 4516871.6520672515)"
"영화사로13길, 영화사로11길","MULTILINESTRING ((14148130.232980646 4516861.47722878, 14148138.490303598 4516871.431796759), (14148189.428355038 4516871.6520672515, 14148155.70288014 4516827.692203283))"
"영화사로13길, 영화사로11길","LINESTRING (14148189.428355038 4516871.6520672515, 14148196.779772243 4516881.234357827, 14148196.779772243 4516886.949468921, 14148168.181795059 4516907.226202753, 14148138.490303598 4516871.431796759)"
"영화사로13길, 영화사로11길","MULTILINESTRING ((14148155.70288014 4516827.692203283, 14148189.428355038 4516871.6520672515), (14148138.490303598 4516871.431796759, 14148130.232980646 4516861.47722878))"
영화사로13길,"LINESTRING (14148114.922612162 4516797.765887422, 14148091.237763021 4516780.384925704)"
영화사로13길,"LINESTRING (14148155.70288014 4516827.692203283, 14148114.922612162 4516797.765887422)"
영화사로13길,"LINESTRING (14148091.237763021 4516780.384925704, 14148043.025173254 4516744.4507652)"
영화사로13길,"LINESTRING (14148043.025173254 4516744.4507652, 14147994.40093798 4516708.209794051)"
영화사로13길,"LINESTRING (14148091.237763021 4516780.384925704, 14148114.922612162 4516797.765887422)"
영화사로13길,"LINESTRING (14148114.922612162 4516797.765887422, 14148155.70288014 4516827.692203283)"
영화사로16가길,"LINESTRING (14148242.086664079 4516533.698336537, 14148216.338606775 4516559.353667597)"
영화사로9가길,"LINESTRING (14148109.191200295 4516997.873902246, 14148106.444005463 4516978.293375771)"
자양로44길,"LINESTRING (14148225.22190214 4516024.466389715, 14148151.172176862 4516010.144693188)"
자양로44길,"LINESTRING (14148331.50975195 4516081.795494711, 14148275.382464692 4516041.189101346, 14148244.23966146 4516030.806599809)"
자양로44길,"LINESTRING (14148244.23966146 4516030.806599809, 14148225.22190214 4516024.466389715)"
천호대로137길,"LINESTRING (14147992.193378761 4516030.312695126, 14148023.822679395 4516019.552079874)"
천호대로137길,"LINESTRING (14148023.822679395 4516019.552079874, 14147992.193378761 4516030.312695126)"
긴고랑로39길,"LINESTRING (14148047.24430026 4517334.436912002, 14147986.525444413 4517346.701151742)"
용마산로8가길,"LINESTRING (14147476.731909946 4517700.591280351, 14147436.400858428 4517694.440387797)"
용마산로8가길,"LINESTRING (14147480.821790017 4517701.215121862, 14147517.241072644 4517706.770262815, 14147520.235566944 4517694.229740856)"
자양로44길,"LINESTRING (14148221.28140439 4516365.52941407, 14148196.557133261 4516412.633952584)"
자양로44길,"LINESTRING (14148253.574976444 4516301.524870112, 14148242.990839439 4516322.511255287)"
자양로44길,"LINESTRING (14148253.574976444 4516301.524870112, 14148304.721303146 4516239.328111026)"
