road_name,geometry,score
영화사로15길,"LINESTRING (14148155.70288014 4516827.692203283, 14148180.571654383 4516793.865161106, 14148116.551815229 4516747.55500838)",2
영화사로13길,"LINESTRING (14148091.237763021 4516780.384925704, 14148043.025173254 4516744.4507652)",2
영화사로13길,"LINESTRING (14148043.025173254 4516744.4507652, 14147994.40093798 4516708.209794051)",2
영화사로13길,"LINESTRING (14148091.237763021 4516780.384925704, 14148114.922612162 4516797.765887422)",2
영화사로13길,"LINESTRING (14148114.922612162 4516797.765887422, 14148155.70288014 4516827.692203283)",2
천호대로137길,"LINESTRING (14147976.200201236 4516232.315727023, 14147991.566599153 4516175.905348965)",2
천호대로137길,"LINESTRING (14147976.200201236 4516232.315727023, 14147974.834797539 4516237.900639788)",2
긴고랑로44길,"LINESTRING (14148142.354498778 4517377.733043953, 14148145.76204961 4517333.383713578)",2
영화사로11길,"LINESTRING (14148065.767863525 4516813.65024639, 14147989.065497026 4516756.824575696)",2
영화사로11길,"LINESTRING (14148114.698534342 4516849.952147882, 14148130.232980646 4516861.47722878)",2
영화사로11길,"LINESTRING (14148065.767863525 4516813.65024639, 14148114.698534342 4516849.952147882)",2
자양로44길,"LINESTRING (14148244.23966146 4516030.806599809, 14148225.22190214 4516024.466389715)",2
자양로44길,"LINESTRING (14148304.721303146 4516239.328111026, 14148253.574976444 4516301.524870112)",2
자양로52길,"LINESTRING (14148115.817106588 4516384.3265095875, 14148100.243509825 4516405.458794857)",2
자양로44길,"LINESTRING (14148221.28140439 4516365.52941407, 14148196.557133261 4516412.633952584)",2
자양로44길,"LINESTRING (14148242.990839439 4516322.511255287, 14148253.574976444 4516301.524870112)",2
자양로48길,"LINESTRING (14148222.309871424 4516365.533860874, 14148242.120200843 4516385.64639858)",2
자양로48길,"LINESTRING (14148117.166807605 4516275.070933151, 14148109.961701373 4516268.87899087)",2
영화사로16길,"LINESTRING (14148241.846690737 4516589.746761824, 14148216.338606775 4516559.353667597)",2
자양로50가길,"LINESTRING (14148030.546376642 4516469.951142589, 14148044.194430536 4516491.325674607)",2
자양로50가길,"LINESTRING (14148044.194430536 4516491.325674607, 14148109.060013497 4516592.913160317)",2
자양로50가길,"LINESTRING (14148030.546376642 4516469.951142589, 14147990.5874815 4516403.330704872)",2
자양로50가길,"LINESTRING (14147967.254251566 4516364.428978832, 14147950.663510047 4516336.768492773)",2
자양로52길,"LINESTRING (14148030.546376642 4516469.951142589, 14148057.318714175 4516445.181990113)",2
자양로52길,"LINESTRING (14148030.546376642 4516469.951142589, 14147998.422848834 4516491.127211043)",2
자양로52길,"LINESTRING (14147998.422848834 4516491.127211043, 14147990.186106287 4516496.556932992)",2
천호대로137길,"LINESTRING (14147974.834797539 4516237.900639788, 14147950.663510047 4516336.768492773)",2
자양로48길,"LINESTRING (14147996.968925383 4516237.996805291, 14148023.06570686 4516245.135320735)",2
영화사로16가길,"LINESTRING (14148241.6053624 4516646.110768267, 14148218.299940273 4516618.6436965065)",2
자양로52길,"LINESTRING (14148116.348352484 4516465.705365127, 14148133.09092654 4516491.710922064)",2
자양로54길,"LINESTRING (14148182.263710642 4516507.680684226, 14148160.033208331 4516533.559268733)",2
자양로54길,"LINESTRING (14148182.263710642 4516507.680684226, 14148183.421433346 4516520.121493314)",2
자양로54길,"LINESTRING (14148180.793991271 4516491.917183511, 14148178.634695243 4516468.757616323, 14148189.332498308 4516435.240646083)",2
자양로54길,"LINESTRING (14148182.263710642 4516507.680684226, 14148180.793991271 4516491.917183511)",2
자양로52길,"LINESTRING (14148086.02801085 4516418.615594685, 14148100.243509825 4516405.458794857)",2
자양로52길,"LINESTRING (14148086.02801085 4516418.615594685, 14148057.318714175 4516445.181990113)",2
자양로52길,"LINESTRING (14148086.02801085 4516418.615594685, 14148114.236369818 4516462.424908652, 14148116.348352484 4516465.705365127)",2
자양로52길,"LINESTRING (14148133.09092654 4516491.710922064, 14148160.033208331 4516533.559268733)",2
자양로48길,"LINESTRING (14147976.200201236 4516232.315727023, 14147950.663510047 4516227.246866812, 14147933.121443026 4516237.719279771)",2
자양로54길,"LINESTRING (14148160.033208331 4516533.559268733, 14148182.263710642 4516507.680684226)",2
자양로54길,"LINESTRING (14148160.033208331 4516533.559268733, 14148134.385197653 4516563.425734199)",2
자양로52길,"LINESTRING (14148116.348352484 4516465.705365127, 14148114.236369818 4516462.424908652, 14148086.02801085 4516418.615594685)",2
자양로52길,"LINESTRING (14148133.09092654 4516491.710922064, 14148116.348352484 4516465.705365127)",2
자양로52길,"LINESTRING (14148160.033208331 4516533.559268733, 14148133.09092654 4516491.710922064)",2
영화사로16길,"LINESTRING (14148241.5071697 4516669.044010326, 14148204.160254482 4516671.027157874)",2
자양로52길,"LINESTRING (14148087.515724892 4516491.513513833, 14148116.049578568 4516535.293241927)",2
자양로50가길,"LINESTRING (14148175.139263231 4516672.571751157, 14148134.40746155 4516647.226408374, 14148120.871589322 4516618.222416156)",2
자양로50가길,"LINESTRING (14148120.871589322 4516618.222416156, 14148115.740723532 4516607.22825273)",2
자양로50가길,"LINESTRING (14148115.740723532 4516607.22825273, 14148109.060013497 4516592.913160317)",2
영화사로16길,"LINESTRING (14148175.139263231 4516672.571751157, 14148120.893275369 4516693.100821724)",2
자양로48길,"LINESTRING (14147933.121443026 4516237.719279771, 14147865.098486882 4516278.328204965)",2
자양로44나길,"LINESTRING (14148109.961701373 4516268.87899087, 14148117.290252643 4516246.317640309)",2
자양로48길,"LINESTRING (14148109.961701373 4516268.87899087, 14148117.166807605 4516275.070933151)",2
자양로48길,"LINESTRING (14148109.961701373 4516268.87899087, 14148040.431547426 4516249.881242214)",2
자양로48길,"LINESTRING (14148242.120200843 4516385.64639858, 14148222.309871424 4516365.533860874)",2
자양로50가길,"LINESTRING (14148044.194430536 4516491.325674607, 14148030.546376642 4516469.951142589)",2
자양로50가길,"LINESTRING (14148109.060013497 4516592.913160317, 14148044.194430536 4516491.325674607)",2
자양로54길,"LINESTRING (14148109.060013497 4516592.913160317, 14148115.836060459 4516585.023457208)",2
자양로54길,"LINESTRING (14148115.836060459 4516585.023457208, 14148134.385197653 4516563.425734199)",2
자양로54길,"LINESTRING (14148083.441320471 4516618.060177525, 14148060.179625088 4516640.8935926985)",2
자양로54길,"LINESTRING (14148109.060013497 4516592.913160317, 14148083.441320471 4516618.060177525)",2
자양로50가길,"LINESTRING (14148109.060013497 4516592.913160317, 14148115.740723532 4516607.22825273)",2
자양로50가길,"LINESTRING (14148115.740723532 4516607.22825273, 14148120.871589322 4516618.222416156)",2
자양로50가길,"LINESTRING (14148120.871589322 4516618.222416156, 14148134.40746155 4516647.226408374, 14148175.139263231 4516672.571751157)",2
영화사로16길,"LINESTRING (14148175.139263231 4516672.571751157, 14148204.160254482 4516671.027157874)",2
자양로52길,"LINESTRING (14148057.318714175 4516445.181990113, 14148087.515724892 4516491.513513833)",2
긴고랑로46길,"LINESTRING (14148135.375941122 4517468.559087157, 14148177.488104487 4517468.882072168)",2
자양로52길,"LINESTRING (14148116.049578568 4516535.293241927, 14148134.385197653 4516563.425734199)",2
용마산로8다길,"LINESTRING (14147476.731909946 4517700.591280351, 14147480.935460992 4517675.112489965)",2
광장로1다길,"LINESTRING (14148982.590540452 4515989.110657214, 14148994.873729536 4515949.024967422, 14149000.806684123 4515930.618479242)",2
광장로1다길,"LINESTRING (14148915.0576999 4516115.381947137, 14148953.496274808 4516061.702892409, 14148972.810206458 4516019.945224578, 14148979.901258023 4515997.887021432, 14148982.590540452 4515989.110657214)",2
광장로1다길,"LINESTRING (14148850.280842945 4516149.571454511, 14148873.89233728 4516141.780343003)",2
광장로1다길,"LINESTRING (14149000.806684123 4515930.618479242, 14149002.744017536 4515924.60806672, 14149027.033930426 4515879.256527683, 14149031.348216616 4515862.760688201)",2
용마산로8다길,"LINESTRING (14147476.731909946 4517700.591280351, 14147471.678005062 4517731.177279221)",2
용마산로8가길,"LINESTRING (14147476.731909946 4517700.591280351, 14147436.400858428 4517694.440387797)",2
용마산로8다길,"LINESTRING (14147480.935460992 4517675.112489965, 14147482.83221804 4517663.615763823, 14147519.300483223 4517645.191248346)",2
용마산로8가길,"LINESTRING (14147480.821790017 4517701.215121862, 14147517.241072644 4517706.770262815, 14147520.235566944 4517694.229740856)",2
광장로1다길,"LINESTRING (14149031.348216616 4515862.760688201, 14149027.033930426 4515879.256527683, 14149002.744017536 4515924.60806672, 14149000.806684123 4515930.618479242)",2
용마산로8가길,"LINESTRING (14147476.731909946 4517700.591280351, 14147480.821790017 4517701.215121862)",2
"워커힐로, 영화사로","LINESTRING (14148620.589185208 4516436.705536901, 14148591.863777015 4516453.817487296, 14148519.682046697 4516493.376995586)",2
"워커힐로, 영화사로","LINESTRING (14148494.260739671 4516507.019510719, 14148447.649376694 4516520.992069673, 14148411.225639308 4516536.22716768)",2
긴고랑로39길,"LINESTRING (14147900.747120371 4517376.684533222, 14147906.336088814 4517373.405328259)",2
긴고랑로39길,"LINESTRING (14147860.253382709 4517400.443347901, 14147900.747120371 4517376.684533222)",2
"용마산로8길, 긴고랑로39길","LINESTRING (14147860.39199592 4517368.345545305, 14147867.251815595 4517364.993755134, 14147861.329618685 4517347.805519892)",2
용마산로28길,"LINESTRING (14147417.643524231 4518503.018860572, 14147386.329840627 4518513.661584014)",2
광장로1다길,"LINESTRING (14148873.89233728 4516141.780343003, 14148903.513823442 4516132.006107689, 14148913.710688798 4516117.263033593, 14148915.0576999 4516115.381947137)",2
광장로1다길,"LINESTRING (14148873.89233728 4516141.780343003, 14148850.280842945 4516149.571454511)",2
자양로50길,"LINESTRING (14148417.71556562 4516544.048327993, 14148414.999370044 4516540.776639036, 14148411.225639308 4516536.22716768)",2
긴고랑로42길,"LINESTRING (14147933.153571244 4517250.252084226, 14147934.87840625 4517266.709447734)",2
영화사로16길,"LINESTRING (14148183.421433346 4516520.121493314, 14148216.338606775 4516559.353667597)",2
자양로54길,"LINESTRING (14148183.421433346 4516520.121493314, 14148182.263710642 4516507.680684226)",2
영화사로16나길,"LINESTRING (14148209.298568718 4516492.040433357, 14148223.106831813 4516477.056137054, 14148242.305036515 4516482.694732361)",2
영화사로16나길,"LINESTRING (14148183.421433346 4516520.121493314, 14148209.298568718 4516492.040433357)",2
영화사로7길,"LINESTRING (14147861.968339328 4517003.300635023, 14147896.70695286 4517022.989693297)",2
영화사로7길,"LINESTRING (14147987.615887458 4517093.478394129, 14147987.543657348 4517093.397663363)",2
긴고랑로44길,"LINESTRING (14148122.61853405 4517251.074289702, 14148136.83422645 4517270.163916951, 14148148.778807813 4517294.0503389705, 14148145.76204961 4517333.383713578)",2
영화사로11길,"LINESTRING (14147989.065497026 4516756.824575696, 14148065.767863525 4516813.65024639)",2
광장로1다길,"LINESTRING (14148982.590540452 4515989.110657214, 14148979.901258023 4515997.887021432, 14148972.810206458 4516019.945224578, 14148953.496274808 4516061.702892409, 14148915.0576999 4516115.381947137)",2
영화사로9길,"LINESTRING (14148172.893421039 4517251.291713619, 14148172.334012063 4517253.074135249)",2
영화사로9나길,"LINESTRING (14148239.719354633 4517086.573349262, 14148253.185358228 4517061.437385287, 14148239.866050515 4517052.31537441)",2
영화사로9가길,"LINESTRING (14148109.191200295 4516997.873902246, 14148106.444005463 4516978.293375771)",2
영화사로9나길,"LINESTRING (14148239.866050515 4517052.31537441, 14148253.185358228 4517061.437385287, 14148239.719354633 4517086.573349262)",2
긴고랑로46길,"LINESTRING (14148171.026618207 4517251.283640252, 14148172.334012063 4517253.074135249)",2
광장로1다길,"LINESTRING (14148915.0576999 4516115.381947137, 14148913.710688798 4516117.263033593, 14148903.513823442 4516132.006107689, 14148873.89233728 4516141.780343003)",2
광장로1다길,"LINESTRING (14149000.806684123 4515930.618479242, 14148994.873729536 4515949.024967422, 14148982.590540452 4515989.110657214)",2
용마산로28길,"LINESTRING (14147386.329840627 4518513.661584014, 14147371.156504877 4518518.818614344)",2
용마산로28길,"LINESTRING (14147477.441229826 4518477.424524485, 14147518.799545513 4518464.76248895)",2
용마산로28길,"LINESTRING (14147417.643524231 4518503.018860572, 14147421.584234204 4518501.670616022, 14147461.091521489 4518482.4300616905, 14147477.441229826 4518477.424524485)",2
긴고랑로46길,"LINESTRING (14148186.193288667 4517336.585437118, 14148183.474054066 4517377.91087955)",2
용마산로28가길,"LINESTRING (14147255.01688013 4518589.896735119, 14147350.882457199 4518593.101561285)",2
긴고랑로46길,"LINESTRING (14148250.224259771 4517472.743850255, 14148267.311801609 4517473.614505876)",2
긴고랑로46길,"LINESTRING (14148250.224259771 4517472.743850255, 14148238.068439707 4517472.090906506)",2
긴고랑로46길,"LINESTRING (14148238.068439707 4517472.090906506, 14148215.192016019 4517470.862110937)",2
긴고랑로46길,"LINESTRING (14148238.068439707 4517472.090906506, 14148250.224259771 4517472.743850255)",2
긴고랑로46길,"LINESTRING (14148215.192016019 4517470.862110937, 14148238.068439707 4517472.090906506)",2
긴고랑로46길,"LINESTRING (14148215.192016019 4517470.862110937, 14148177.488104487 4517468.882072168)",2
긴고랑로46길,"LINESTRING (14148183.474054066 4517377.91087955, 14148177.488104487 4517468.882072168)",2
용마산로28다길,"LINESTRING (14147417.643524231 4518503.018860572, 14147441.05709822 4518513.902313246)",2
긴고랑로46길,"LINESTRING (14148186.193288667 4517336.585437118, 14148190.089470847 4517277.409880479, 14148172.334012063 4517253.074135249)",2
긴고랑로44길,"LINESTRING (14148145.76204961 4517333.383713578, 14148142.354498778 4517377.733043953)",2
긴고랑로44길,"LINESTRING (14148142.354498778 4517377.733043953, 14148135.375941122 4517468.559087157)",2
긴고랑로44길,"LINESTRING (14148145.76204961 4517333.383713578, 14148148.778807813 4517294.0503389705, 14148136.83422645 4517270.163916951, 14148122.61853405 4517251.074289702)",2
자양로44길,"LINESTRING (14148253.574976444 4516301.524870112, 14148242.990839439 4516322.511255287)",2
자양로44길,"LINESTRING (14148253.574976444 4516301.524870112, 14148304.721303146 4516239.328111026)",2
자양로44길,"LINESTRING (14148253.574976444 4516301.524870112, 14148243.122990547 4516291.643891633)",2
용마산로28가길,"LINESTRING (14147350.882457199 4518593.101561285, 14147367.605413118 4518593.660616665)",2
용마산로28가길,"LINESTRING (14147248.658264732 4518639.643210186, 14147244.831146723 4518669.584576154)",2
용마산로28가길,"LINESTRING (14147255.01688013 4518589.896735119, 14147248.658264732 4518639.643210186)",2
