gid_500,gid_100,gid,grid_x,grid_y,geometry
12,250,다사628515,1925,3903,"POLYGON ((962800 1951500, 962800 1951600, 962900 1951600, 962900 1951500, 962800 1951500))"
12,251,다사629515,1925,3903,"POLYGON ((962900 1951500, 962900 1951600, 963000 1951600, 963000 1951500, 962900 1951500))"
13,148,다사630519,1926,3903,"POLYGON ((963000 1951900, 963000 1952000, 963100 1952000, 963100 1951900, 963000 1951900))"
13,149,다사631519,1926,3903,"POLYGON ((963100 1951900, 963100 1952000, 963200 1952000, 963200 1951900, 963100 1951900))"
13,150,다사632519,1926,3903,"POLYGON ((963200 1951900, 963200 1952000, 963300 1952000, 963300 1951900, 963200 1951900))"
13,151,다사633519,1926,3903,"POLYGON ((963300 1951900, 963300 1952000, 963400 1952000, 963400 1951900, 963300 1951900))"
13,152,다사634519,1926,3903,"POLYGON ((963400 1951900, 963400 1952000, 963500 1952000, 963500 1951900, 963400 1951900))"
13,174,다사630518,1926,3903,"POLYGON ((963000 1951800, 963000 1951900, 963100 1951900, 963100 1951800, 963000 1951800))"
13,175,다사631518,1926,3903,"POLYGON ((963100 1951800, 963100 1951900, 963200 1951900, 963200 1951800, 963100 1951800))"
13,176,다사632518,1926,3903,"POLYGON ((963200 1951800, 963200 1951900, 963300 1951900, 963300 1951800, 963200 1951800))"
13,177,다사633518,1926,3903,"POLYGON ((963300 1951800, 963300 1951900, 963400 1951900, 963400 1951800, 963300 1951800))"
13,178,다사634518,1926,3903,"POLYGON ((963400 1951800, 963400 1951900, 963500 1951900, 963500 1951800, 963400 1951800))"
13,200,다사630517,1926,3903,"POLYGON ((963000 1951700, 963000 1951800, 963100 1951800, 963100 1951700, 963000 1951700))"
13,201,다사631517,1926,3903,"POLYGON ((963100 1951700, 963100 1951800, 963200 1951800, 963200 1951700, 963100 1951700))"
13,202,다사632517,1926,3903,"POLYGON ((963200 1951700, 963200 1951800, 963300 1951800, 963300 1951700, 963200 1951700))"
13,203,다사633517,1926,3903,"POLYGON ((963300 1951700, 963300 1951800, 963400 1951800, 963400 1951700, 963300 1951700))"
13,204,다사634517,1926,3903,"POLYGON ((963400 1951700, 963400 1951800, 963500 1951800, 963500 1951700, 963400 1951700))"
13,226,다사630516,1926,3903,"POLYGON ((963000 1951600, 963000 1951700, 963100 1951700, 963100 1951600, 963000 1951600))"
13,227,다사631516,1926,3903,"POLYGON ((963100 1951600, 963100 1951700, 963200 1951700, 963200 1951600, 963100 1951600))"
13,228,다사632516,1926,3903,"POLYGON ((963200 1951600, 963200 1951700, 963300 1951700, 963300 1951600, 963200 1951600))"
13,229,다사633516,1926,3903,"POLYGON ((963300 1951600, 963300 1951700, 963400 1951700, 963400 1951600, 963300 1951600))"
13,230,다사634516,1926,3903,"POLYGON ((963400 1951600, 963400 1951700, 963500 1951700, 963500 1951600, 963400 1951600))"
13,252,다사630515,1926,3903,"POLYGON ((963000 1951500, 963000 1951600, 963100 1951600, 963100 1951500, 963000 1951500))"
13,253,다사631515,1926,3903,"POLYGON ((963100 1951500, 963100 1951600, 963200 1951600, 963200 1951500, 963100 1951500))"
13,254,다사632515,1926,3903,"POLYGON ((963200 1951500, 963200 1951600, 963300 1951600, 963300 1951500, 963200 1951500))"
13,255,다사633515,1926,3903,"POLYGON ((963300 1951500, 963300 1951600, 963400 1951600, 963400 1951500, 963300 1951500))"
13,256,다사634515,1926,3903,"POLYGON ((963400 1951500, 963400 1951600, 963500 1951600, 963500 1951500, 963400 1951500))"
14,153,다사635519,1927,3903,"POLYGON ((963500 1951900, 963500 1952000, 963600 1952000, 963600 1951900, 963500 1951900))"
14,154,다사636519,1927,3903,"POLYGON ((963600 1951900, 963600 1952000, 963700 1952000, 963700 1951900, 963600 1951900))"
14,155,다사637519,1927,3903,"POLYGON ((963700 1951900, 963700 1952000, 963800 1952000, 963800 1951900, 963700 1951900))"
14,156,다사638519,1927,3903,"POLYGON ((963800 1951900, 963800 1952000, 963900 1952000, 963900 1951900, 963800 1951900))"
14,157,다사639519,1927,3903,"POLYGON ((963900 1951900, 963900 1952000, 964000 1952000, 964000 1951900, 963900 1951900))"
14,179,다사635518,1927,3903,"POLYGON ((963500 1951800, 963500 1951900, 963600 1951900, 963600 1951800, 963500 1951800))"
14,180,다사636518,1927,3903,"POLYGON ((963600 1951800, 963600 1951900, 963700 1951900, 963700 1951800, 963600 1951800))"
14,181,다사637518,1927,3903,"POLYGON ((963700 1951800, 963700 1951900, 963800 1951900, 963800 1951800, 963700 1951800))"
14,182,다사638518,1927,3903,"POLYGON ((963800 1951800, 963800 1951900, 963900 1951900, 963900 1951800, 963800 1951800))"
14,183,다사639518,1927,3903,"POLYGON ((963900 1951800, 963900 1951900, 964000 1951900, 964000 1951800, 963900 1951800))"
14,205,다사635517,1927,3903,"POLYGON ((963500 1951700, 963500 1951800, 963600 1951800, 963600 1951700, 963500 1951700))"
14,206,다사636517,1927,3903,"POLYGON ((963600 1951700, 963600 1951800, 963700 1951800, 963700 1951700, 963600 1951700))"
14,207,다사637517,1927,3903,"POLYGON ((963700 1951700, 963700 1951800, 963800 1951800, 963800 1951700, 963700 1951700))"
14,208,다사638517,1927,3903,"POLYGON ((963800 1951700, 963800 1951800, 963900 1951800, 963900 1951700, 963800 1951700))"
14,209,다사639517,1927,3903,"POLYGON ((963900 1951700, 963900 1951800, 964000 1951800, 964000 1951700, 963900 1951700))"
14,231,다사635516,1927,3903,"POLYGON ((963500 1951600, 963500 1951700, 963600 1951700, 963600 1951600, 963500 1951600))"
14,232,다사636516,1927,3903,"POLYGON ((963600 1951600, 963600 1951700, 963700 1951700, 963700 1951600, 963600 1951600))"
14,233,다사637516,1927,3903,"POLYGON ((963700 1951600, 963700 1951700, 963800 1951700, 963800 1951600, 963700 1951600))"
14,234,다사638516,1927,3903,"POLYGON ((963800 1951600, 963800 1951700, 963900 1951700, 963900 1951600, 963800 1951600))"
14,235,다사639516,1927,3903,"POLYGON ((963900 1951600, 963900 1951700, 964000 1951700, 964000 1951600, 963900 1951600))"
14,257,다사635515,1927,3903,"POLYGON ((963500 1951500, 963500 1951600, 963600 1951600, 963600 1951500, 963500 1951500))"
14,258,다사636515,1927,3903,"POLYGON ((963600 1951500, 963600 1951600, 963700 1951600, 963700 1951500, 963600 1951500))"
14,259,다사637515,1927,3903,"POLYGON ((963700 1951500, 963700 1951600, 963800 1951600, 963800 1951500, 963700 1951500))"
14,260,다사638515,1927,3903,"POLYGON ((963800 1951500, 963800 1951600, 963900 1951600, 963900 1951500, 963800 1951500))"
14,261,다사639515,1927,3903,"POLYGON ((963900 1951500, 963900 1951600, 964000 1951600, 964000 1951500, 963900 1951500))"
15,158,다사640519,1928,3903,"POLYGON ((964000 1951900, 964000 1952000, 964100 1952000, 964100 1951900, 964000 1951900))"
15,159,다사641519,1928,3903,"POLYGON ((964100 1951900, 964100 1952000, 964200 1952000, 964200 1951900, 964100 1951900))"
15,160,다사642519,1928,3903,"POLYGON ((964200 1951900, 964200 1952000, 964300 1952000, 964300 1951900, 964200 1951900))"
15,161,다사643519,1928,3903,"POLYGON ((964300 1951900, 964300 1952000, 964400 1952000, 964400 1951900, 964300 1951900))"
15,162,다사644519,1928,3903,"POLYGON ((964400 1951900, 964400 1952000, 964500 1952000, 964500 1951900, 964400 1951900))"
15,184,다사640518,1928,3903,"POLYGON ((964000 1951800, 964000 1951900, 964100 1951900, 964100 1951800, 964000 1951800))"
15,185,다사641518,1928,3903,"POLYGON ((964100 1951800, 964100 1951900, 964200 1951900, 964200 1951800, 964100 1951800))"
15,186,다사642518,1928,3903,"POLYGON ((964200 1951800, 964200 1951900, 964300 1951900, 964300 1951800, 964200 1951800))"
15,187,다사643518,1928,3903,"POLYGON ((964300 1951800, 964300 1951900, 964400 1951900, 964400 1951800, 964300 1951800))"
15,188,다사644518,1928,3903,"POLYGON ((964400 1951800, 964400 1951900, 964500 1951900, 964500 1951800, 964400 1951800))"
15,210,다사640517,1928,3903,"POLYGON ((964000 1951700, 964000 1951800, 964100 1951800, 964100 1951700, 964000 1951700))"
